nom_commune,n,prix_m2,lat,lon
Abzac,16,1639.4736842105262,45.016526,-0.13168
Ambarès-et-Lagrave,130,2689.583333333333,44.93467,-0.493699
Ambès,45,2115.3846153846152,45.007482,-0.529036
Andernos-les-Bains,282,4803.757575757576,44.744158999999996,-1.088408
Arcachon,389,7317.64705882353,44.65948,-1.165704
Arsac,31,2771.428571428572,44.996543,-0.6931235
Artigues-près-Bordeaux,97,3083.333333333333,44.860985,-0.485942
Arveyres,17,2698.5714285714284,44.8842305,-0.28709700000000005
Arès,130,4472.4054855448485,44.765898,-1.133922
Audenge,150,3730.4594112399645,44.688777,-1.00507
Avensan,37,2808.988764044944,45.036732,-0.757289
Baron,10,2589.880301600092,44.832505,-0.32148350000000003
Barsac,12,1317.253170289855,44.604613,-0.328552
Bassens,75,2935.483870967742,44.906835,-0.512557
Bazas,23,1883.3333333333333,44.435346,-0.213223
Beautiran,24,2897.948930678466,44.703356,-0.457144
Belin-Béliet,55,2643.75,44.495667,-0.78787
Berson,15,1649.562091503268,45.107261,-0.585492
Beychac-et-Caillau,10,2765.154877484975,44.873580000000004,-0.3737165
Biganos,130,3505.61797752809,44.646599,-0.966473
Blanquefort,164,3141.75,44.910392,-0.6365835
Blaye,61,1742.4242424242425,45.126694,-0.652779
Bordeaux,4506,4263.931888544892,44.8425335,-0.576738
Bouliac,19,3263.157894736842,44.819143,-0.508959
Bourg,20,1757.843137254902,45.042019499999995,-0.5570120000000001
Bruges,308,3632.224685883223,44.878823,-0.601056
Bègles,417,3493.8271604938277,44.806974,-0.555855
Béguey,16,2040.1450053705694,44.6450145,-0.3231125
Cabanac-et-Villagrains,16,2450.6849315068494,44.611353,-0.5479594999999999
Cadaujac,75,3130.9523809523807,44.752323,-0.53382
Cadillac,19,1964.2857142857144,44.638074,-0.314177
Cambes,18,2849.199459876543,44.745005,-0.460883
Camblanes-et-Meynac,30,3684.7504537205086,44.767837,-0.48367649999999995
Canéjan,42,3610.0066934404285,44.756313500000005,-0.6447054999999999
Carbon-Blanc,96,2727.6991567852438,44.89476,-0.505724
Carcans,69,4206.896551724138,45.073735,-1.142965
Carignan-de-Bordeaux,25,3125.0,44.811808,-0.476832
Castelnau-de-Médoc,76,2779.645390070922,45.0272605,-0.801294
Castets et Castillon,12,1931.5335570469801,44.559998,-0.151667
Castillon-la-Bataille,35,1333.3333333333333,44.853878,-0.044387
Castres-Gironde,26,2792.751984126984,44.6925285,-0.448762
Cavignac,38,1966.9880952380952,45.1007915,-0.3847005
Cenon,373,3000.0,44.855152,-0.52146
Cestas,97,3820.0,44.756512,-0.689023
Cissac-Médoc,12,2074.380165289256,45.226912,-0.844226
Coutras,79,1809.5238095238096,45.040908,-0.122613
Créon,66,2576.6304347826085,44.773146999999994,-0.348982
Cubnezais,16,2268.7726363636366,45.06574,-0.40756899999999996
Cubzac-les-Ponts,28,2135.6483993488873,44.9715355,-0.4518455
Cussac-Fort-Médoc,14,2167.3271173271173,45.111067500000004,-0.730777
Cérons,26,2170.155555555556,44.6309975,-0.34462000000000004
Cézac,17,2352.9411764705883,45.085107,-0.436905
Eysines,320,3423.6111111111113,44.880426,-0.645857
Fargues-Saint-Hilaire,40,3161.2804878048782,44.82289,-0.43955849999999996
Floirac,174,3145.7984866587017,44.8360495,-0.526639
Gaillan-en-Médoc,25,2537.5,45.308358999999996,-0.95084
Galgon,30,1883.9622641509434,44.988612,-0.269415
Gironde-sur-Dropt,13,1629.2134831460671,44.584860500000005,-0.085929
Gradignan,315,3513.414634146341,44.776797,-0.609536
Grignols,12,1540.4951370468611,44.388349500000004,-0.0423925
Grézillac,14,1894.4444444444443,44.821999500000004,-0.213444
Gujan-Mestras,325,4277.777777777777,44.635928,-1.074827
Guîtres,17,1733.7662337662337,45.042967,-0.185522
Génissac,19,2659.4262295081967,44.860346,-0.252694
Hostens,17,2592.233009708738,44.492754,-0.646031
Hourtin,109,3214.285714285714,45.185144,-1.067662
Hure,10,1483.7301587301586,44.544215,-0.00042500000000000003
Illats,17,2204.3010752688174,44.597421,-0.372214
Izon,45,2493.6305732484075,44.920513,-0.358081
Jau-Dignac-et-Loirac,11,1527.7777777777778,45.40893,-0.960991
La Brède,31,3088.8888888888887,44.681007,-0.5261454999999999
La Lande-de-Fronsac,26,2536.5891472868216,44.98051,-0.38263
La Réole,34,1417.96875,44.582075,-0.0360235
La Sauve,15,2496.3414634146343,44.769471,-0.312316
La Teste-de-Buch,415,4750.0,44.628886,-1.145125
Lacanau,262,5240.476190476191,44.996872499999995,-1.179891
Lagorce,14,1581.1688311688313,45.082285999999996,-0.160806
Lamarque,15,1391.66,45.095887,-0.719491
Landiras,19,1968.75,44.567168,-0.415554
Langoiran,22,2126.3425664217075,44.7071895,-0.3985625
Langon,104,2056.8309141838554,44.549409999999995,-0.25166900000000003
Lanton,105,4030.272727272728,44.712104,-1.049346
Laruscade,19,2081.4814814814813,45.111316,-0.340461
Latresne,36,3288.7745901639346,44.785878,-0.4934115
Le Barp,56,3253.630236100533,44.6054905,-0.768783
Le Bouscat,439,4200.438596491228,44.864869,-0.600012
Le Haillan,187,3552.970297029703,44.872949,-0.677507
Le Pian-Médoc,64,3464.035087719298,44.952691,-0.6562305
Le Porge,17,3973.6,44.874085,-1.092197
Le Taillan-Médoc,121,3444.4444444444443,44.906622,-0.675869
Le Teich,103,3734.939759036145,44.630309,-1.022897
Le Tourne,14,1758.4093023255814,44.710916,-0.400336
Le Verdon-sur-Mer,45,2448.9795918367345,45.5468395,-1.066278
Les Billaux,16,1672.1813725490197,44.954065,-0.232365
Les Églisottes-et-Chalaures,23,1581.012658227848,45.089946,-0.04277
Lesparre-Médoc,59,2000.0,45.3036995,-0.930246
Libourne,378,2373.2538647792885,44.914901,-0.239458
Listrac-Médoc,26,2278.2634443021766,45.0740025,-0.7953865
Lormont,229,2592.5925925925926,44.872007,-0.520189
Ludon-Médoc,42,2866.158735332464,44.978571,-0.6087849999999999
Lugon-et-l'Île-du-Carnay,12,2285.740001425822,44.9553225,-0.34232850000000004
Lège-Cap-Ferret,114,5798.616383616383,44.784536,-1.16748
Léognan,84,3376.2931034482763,44.733169,-0.594651
Macau,42,2563.446728971963,45.006662,-0.619923
Marcheprime,41,3433.260869565217,44.6929605,-0.8509805
Margaux-Cantenac,36,2334.8809523809523,45.035757,-0.681318
Martignas-sur-Jalle,90,3556.4988290398123,44.841505,-0.777509
Martillac,20,3475.71159727123,44.7169935,-0.54849
Mios,94,3652.400303030303,44.611761,-0.928814
Monségur,16,1444.7777777777778,44.650094499999994,0.079167
Montagne,12,2117.1587505348734,44.936639,-0.133001
Montussan,27,2957.1428571428573,44.88108,-0.424563
Moulis-en-Médoc,17,2110.458333333333,45.059421,-0.7685379999999999
Moulon,21,2428.5714285714284,44.846953,-0.223638
Mérignac,1086,3579.248456790124,44.838379,-0.645103
Noaillan,22,2062.4293785310733,44.491057,-0.36193
Paillet,12,2037.7083333333335,44.6859925,-0.36276149999999996
Parempuyre,116,3338.0952380952376,44.95021,-0.603964
